2022-07-20 14:15:41 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 21.
2022-07-20 14:17:25 >> Node: name - testNode1, IP - 127.0.0.1, state - true.. Message [INFO]: Подключенно!
2022-07-20 14:17:25 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Запущен опрос тега!
2022-07-20 14:17:30 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 21.
2022-07-20 14:17:35 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 21.
2022-07-20 14:17:40 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 21.
2022-07-20 14:17:45 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 21.
2022-07-20 14:17:50 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 21.
2022-07-20 14:17:55 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 21.
2022-07-20 14:18:00 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 21.
2022-07-20 14:18:05 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 21.
2022-07-20 14:18:10 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 21.
2022-07-20 14:18:15 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 21.
2022-07-20 14:18:20 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 21.
2022-07-20 14:58:14 >> Node: name - testNode1, IP - 127.0.0.1, state - true.. Message [INFO]: Подключенно!
2022-07-20 14:58:14 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Запущен опрос тега!
2022-07-20 14:58:19 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [ERROR]: modbus: exception '1' (illegal function)
2022-07-20 14:58:19 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Завершен опрос тега!
2022-07-20 14:58:19 >> Node: name - testNode1, IP - 127.0.0.1, state - true.. Message [INFO]: Подключенно!
2022-07-20 14:58:19 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Запущен опрос тега!
2022-07-20 14:58:24 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [ERROR]: modbus: exception '1' (illegal function)
2022-07-20 14:58:24 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Завершен опрос тега!
2022-07-20 14:58:24 >> Node: name - testNode1, IP - 127.0.0.1, state - true.. Message [INFO]: Подключенно!
2022-07-20 14:58:24 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Запущен опрос тега!
2022-07-20 14:58:29 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [ERROR]: modbus: exception '1' (illegal function)
2022-07-20 14:58:29 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Завершен опрос тега!
2022-07-20 14:58:29 >> Node: name - testNode1, IP - 127.0.0.1, state - true.. Message [INFO]: Подключенно!
2022-07-20 14:58:29 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Запущен опрос тега!
2022-07-20 14:58:34 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 0.
2022-07-20 14:58:39 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 1.
2022-07-20 14:58:44 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 1.
2022-07-20 14:58:49 >> Node: name - testNode1, IP - 127.0.0.1, state - true. Tag: name - testTag1. Message [INFO]: Значение: 1.
